Graph ID: roadNet-CA
#vertices: 1957027
#edges: 2760388
#partitions: 50
Last update: 2018-12-18 19:11:08

Rank             Teamname   Cost
----------------------------------
01                WeAreTA   0.1059
02                   P=NP   0.3351
03                 Team65   1.7171
04                  Team3   13.3274
05                 Team30   36.4542
06                 Team11   44.8634
07                 Team13   69.3915
08                 Team20   14647.6014
09                 Team24   Error
