Graph ID: ca-AstroPh
#vertices: 17903
#edges: 197031
#partitions: 50
Last update: 2018-12-18 19:11:35

Rank             Teamname   Cost
----------------------------------
01                   P=NP   24.5
02                 Team75   57.0
03                 Team37   57.5
04                 Team14   57.5
05               Group123   115.0
06                   jojo   227.3333
07                 Team29   329.75
08                 Team30   490.0419
09    xxFloodHunter1993xx   807.9895
10                 Team24   844.0388
11             WeAreNotTA   1741.8333
12                 Team74   2727.1471
13                   Nuts   3346.0
14                 Team20   6430.1852
15             DadaMining   Error
