Graph ID: roadNet-CA
#vertices: 1957027
#edges: 2760388
#partitions: 50
Last update: 2018-12-18 12:09:14

Rank             Teamname   Cost
----------------------------------
01                WeAreTA   0.1059
02                   P=NP   0.3351
03                 Team65   1.7171
04                  Team3   13.3274
05                 Team11   44.8634
06                 Team13   69.3915
07                 Team20   14647.6014
08                 Team24   Error
